probable,38,0.056,0.738
driveway,40,-0.045,0.785
tape,37,0.207,0.219
impossible,30,0.212,0.26
underside,31,-0.03,0.874
lighted,41,0.047,0.772
reflective,45,0.16,0.292
amazing,37,0.171,0.31
shooting,69,0.158,0.194
soundless,32,0.002,0.989
anyone,37,-0.05,0.768
hazy,33,0.038,0.833
third,51,-0.017,0.905
bizarre,113,0.003,0.973
constellation,30,0.188,0.319
launch,136,-0.193,0.024
dot,105,0.123,0.212
cover,34,0.403,0.018
attention,53,-0.007,0.962
film,35,0.183,0.293
shadow,33,0.052,0.772
party,35,0.207,0.232
constant,47,-0.193,0.195
slight,37,-0.156,0.357
mysterious,49,0.105,0.474
eclipse,44,0.562,0.0
string,36,0.425,0.01
purple,44,-0.007,0.962
arc,46,-0.049,0.747
extreme,47,0.008,0.957
pace,61,0.158,0.225
floor,38,0.219,0.187
heading,32,0.148,0.42
central,73,0.098,0.411
source,44,0.432,0.003
while,34,0.152,0.389
commercial,51,0.051,0.724
phoenix,30,0.086,0.652
pink,43,-0.261,0.091
news,45,0.263,0.081
vicinity,32,0.325,0.069
video,119,-0.008,0.929
nearby,30,0.342,0.064
previous,30,-0.009,0.961
rept,67,0.222,0.071
caught,33,0.141,0.434
objs,35,0.194,0.264
descend,32,0.071,0.698
tiny,54,0.133,0.339
thin,68,0.084,0.494
overcast,32,0.284,0.116
sequence,32,0.362,0.042
student,73,0.061,0.608
phone,45,0.169,0.267
eastern,186,0.173,0.018
crescent,32,0.074,0.688
flare,58,-0.159,0.233
advertising,34,0.225,0.2
unison,39,-0.243,0.137
wa,30,-0.024,0.9
contrail,81,0.067,0.551
rocket,60,0.006,0.961
weather,33,0.209,0.243
venus,41,0.157,0.326
celestial,46,0.05,0.741
pale,35,0.316,0.064
distinct,39,-0.074,0.653
brightness,60,0.216,0.097
lunar,33,0.479,0.005
trajectory,31,0.215,0.245
missile,103,-0.245,0.013
brite,31,0.508,0.004
satelite,32,-0.086,0.641
